"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"11/11/2025";"0000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"0100";"27,2";"29,4";"27,2";"31,0";"31,0";"29,0";"8,3";"9,4";"8,3";"961,8";"961,8";"961,5";"1,2";"205,0";"3,1";"";"0,0"
"11/11/2025";"0200";"26,1";"27,2";"26,1";"33,0";"33,0";"31,0";"8,6";"8,6";"8,3";"962,0";"962,1";"961,8";"2,1";"179,0";"3,8";"";"0,0"
"11/11/2025";"0300";"27,0";"27,3";"26,1";"42,0";"42,0";"33,0";"13,1";"13,1";"8,7";"962,1";"962,1";"961,9";"2,2";"182,0";"6,8";"";"0,0"
"11/11/2025";"0400";"25,7";"27,0";"25,7";"50,0";"50,0";"42,0";"14,4";"14,4";"12,8";"961,8";"962,2";"961,8";"2,1";"198,0";"6,0";"";"0,0"
"11/11/2025";"0500";"24,7";"25,7";"24,7";"56,0";"56,0";"50,0";"15,2";"15,2";"14,5";"962,0";"962,0";"961,8";"0,8";"175,0";"3,6";"";"0,0"
"11/11/2025";"0600";"24,4";"24,7";"24,3";"59,0";"59,0";"56,0";"15,9";"15,9";"15,2";"962,2";"962,2";"962,0";"2,8";"154,0";"6,3";"";"0,0"
"11/11/2025";"0700";"23,9";"24,4";"23,9";"62,0";"62,0";"59,0";"16,1";"16,1";"15,9";"962,8";"962,8";"962,2";"3,5";"173,0";"6,9";"";"0,0"
"11/11/2025";"0800";"23,1";"23,9";"23,1";"64,0";"64,0";"62,0";"15,9";"16,1";"15,9";"963,3";"963,3";"962,8";"2,3";"152,0";"6,5";"";"0,0"
"11/11/2025";"0900";"23,1";"23,1";"22,9";"65,0";"65,0";"64,0";"16,2";"16,2";"15,8";"963,8";"963,8";"963,3";"3,4";"169,0";"6,5";"101,70";"0,0"
"11/11/2025";"1000";"24,8";"24,8";"23,1";"62,0";"65,0";"62,0";"17,1";"17,2";"16,2";"964,6";"964,6";"963,8";"3,6";"160,0";"8,3";"886,90";"0,0"
"11/11/2025";"1100";"26,3";"26,3";"24,8";"59,0";"62,0";"59,0";"17,5";"17,6";"16,9";"964,9";"964,9";"964,6";"2,7";"130,0";"6,9";"1543,10";"0,0"
"11/11/2025";"1200";"28,0";"28,1";"26,3";"52,0";"59,0";"52,0";"17,4";"17,9";"17,3";"964,7";"964,9";"964,7";"2,6";"123,0";"7,2";"2361,70";"0,0"
"11/11/2025";"1300";"29,7";"29,8";"28,0";"45,0";"52,0";"45,0";"16,6";"17,5";"16,2";"964,3";"964,7";"964,3";"2,9";"123,0";"9,1";"3233,20";"0,0"
"11/11/2025";"1400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"1500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"1700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"1800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11/11/2025";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
